"Country or Area","Quantity","Quantity Footnotes"
"Afghanistan","307","1"
"Albania","1432","1"
"Algeria","11034",""
"American Samoa","44.8",""
"Andorra","31.5","1"
"Angola","1025","1"
"Anguilla","28.2",""
"Antigua and Barbuda","54",""
"Argentina","29010",""
"Armenia","3480",""
"Aruba","320.4",""
"Australia","56494",""
"Austria","18814",""
"Azerbaijan","6196",""
"Bahamas","438",""
"Bahrain","2868",""
"Bangladesh","3916",""
"Barbados","257.2",""
"Belarus","7729","1"
"Belgium","16196",""
"Belize","117.8","1"
"Benin","165.5","1"
"Bermuda","165","1"
"Bhutan","1505.45",""
"Bolivia (Plur. State of)","1508.1",""
"Bosnia and Herzegovina","4074","1"
"Botswana","132",""
"Brazil","96867",""
"British Virgin Islands","44",""
"Brunei Darussalam","691","1"
"Bulgaria","11931.8","1"
"Burkina Faso","237.5",""
"Burundi","33","1"
"Cambodia","361.048",""
"Cameroon","789",""
"Canada","128015",""
"Cape Verde","92.015",""
"Cayman Islands","153",""
"Central African Rep.","44","1"
"Chad","31","1"
"Chile","14931",""
"China","934600","1"
"China, Hong Kong SAR","12624",""
"China, Macao SAR","472",""
"Colombia","13525.07",""
"Comoros","22","1"
"Congo","148","1"
"Cook Islands","8","1"
"Costa Rica","2675.9",""
"Côte d'Ivoire","1793","1"
"Croatia","3762",""
"Cuba","5304",""
"Cyprus","1521",""
"Czech Republic","18205",""
"Dem. Rep. of the Congo","1929","1"
"Denmark","13039",""
"Djibouti","130",""
"Dominica","26.7",""
"Dominican Republic","2959",""
"Ecuador","4356",""
"Egypt","27049",""
"El Salvador","1284.15",""
"Equatorial Guinea","41","1"
"Eritrea","133.95","1"
"Estonia","3036",""
"Ethiopia","2044.04","1"
"Faeroe Islands","101","1"
"Falkland Is. (Malvinas)","9.89","1"
"Fiji","171","1"
"Finland","14462",""
"France","117210",""
"French Guiana","140","1"
"French Polynesia","227.658","1"
"Gabon","318","1"
"Gambia","28","1"
"Georgia","4538","1"
"Germany","145880",""
"Ghana","1970",""
"Gibraltar","43","1"
"Greece","14593",""
"Greenland","158.4","1"
"Grenada","49.13",""
"Guadeloupe","397.4",""
"Guam","552.2",""
"Guatemala","2023",""
"Guernsey","115.3",""
"Guinea","260","1"
"Guinea-Bissau","25.2","1"
"Guyana","169.5",""
"Haiti","267.3",""
"Honduras","1535",""
"Hungary","8888",""
"Iceland","2579",""
"India","173626",""
"Indonesia","28528.6","1"
"Iran(Islamic Rep. of)","56430.66",""
"Iraq","14170.5",""
"Ireland","8203",""
"Isle of Man","172.4","1"
"Israel","13886",""
"Italy","100325",""
"Jamaica","678.3",""
"Japan","227997",""
"Jersey","212","1"
"Jordan","2979",""
"Kazakhstan","18734","1"
"Kenya","1412",""
"Kiribati","6.021","1"
"Korea, Dem.Ppl's.Rep.","9500","1"
"Korea, Republic of","79102",""
"Kuwait","12579",""
"Kyrgyzstan","3859",""
"Lao People's Dem. Rep.","2609.7",""
"Latvia","2132",""
"Lebanon","2311.5",""
"Lesotho","80",""
"Liberia","197","1"
"Libya","7066",""
"Lithuania","3350","1"
"Luxembourg","1571",""
"Madagascar","475.218",""
"Malawi","302",""
"Malaysia","23993","1"
"Maldives","77",""
"Mali","286","1"
"Malta","921","1"
"Marshall Islands","17.2","1"
"Martinique","411.1","1"
"Mauritania","126",""
"Mauritius","443",""
"Mexico","52658",""
"Micronesia(Fed. States of)","28.4","1"
"Mongolia","772","1"
"Montenegro","868",""
"Montserrat","10","1"
"Morocco","6345",""
"Mozambique","2428",""
"Myanmar","3413",""
"Namibia","467","1"
"Nauru","6","1"
"Nepal","475","1"
"Netherlands","21355",""
"Netherlands Antilles","135","1"
"New Caledonia","499.787",""
"New Zealand","9379",""
"Nicaragua","1011",""
"Niger","105","1"
"Nigeria","5841","1"
"Niue","1","1"
"Northern Mariana Islands","59","1"
"Norway","28967",""
"Oman","4265",""
"Other Asia","41144.3",""
"Pakistan","14114",""
"Palau","50","1"
"Panama","1752",""
"Papua New Guinea","272","1"
"Paraguay","8816.1",""
"Peru","7309.7",""
"Philippines","16360",""
"Poland","31564",""
"Portugal","17093",""
"Puerto Rico","5510","1"
"Qatar","1650","1"
"Republic of Moldova","346",""
"Réunion","710.2",""
"Romania","20469","1"
"Russian Federation","208148","1"
"Rwanda","84.1",""
"Samoa","39","1"
"Sao Tome and Principe","14.3",""
"Saudi Arabia","36023",""
"Senegal","493",""
"Serbia","8455","1"
"Seychelles","89.288",""
"Sierra Leone","68.5",""
"Singapore","10261",""
"Slovakia","7258",""
"Slovenia","3009",""
"Solomon Islands","31.034","1"
"Somalia","80",""
"South Africa","41703","1"
"Spain","101773",""
"Sri Lanka","2818",""
"St. Helena and Depend.","5.36","1"
"St. Kitts-Nevis","37.5","1"
"St. Lucia","76",""
"St. Pierre-Miquelon","26.8",""
"St. Vincent-Grenadines","41","1"
"State of Palestine","140",""
"Sudan","2268",""
"Suriname","80",""
"Swaziland","69.6",""
"Sweden","35334",""
"Switzerland","16640",""
"Syrian Arab Republic","7138","1"
"T.F.Yug.Rep. Macedonia","1847","1"
"Tajikistan","4426",""
"Thailand","31484.8",""
"Timor-Leste","44","1"
"Togo","82","1"
"Tonga","13.872",""
"Trinidad and Tobago","1611",""
"Tunisia","3080","1"
"Turkey","46381",""
"Turkmenistan","2852","1"
"Turks and Caicos Islands","48",""
"Tuvalu","2","1"
"Uganda","522",""
"Ukraine","51306",""
"United Arab Emirates","20414",""
"United Kingdom","85709",""
"United Rep. of Tanzania","789",""
"United States","1008650",""
"United States Virgin Is.","307.7","1"
"Uruguay","2429",""
"Uzbekistan","11425","1"
"Vanuatu","31.25",""
"Venezuela(Bolivar. Rep.)","24854",""
"Viet Nam","14435","1"
"Wallis and Futuna Is.","9.827",""
"Western Sahara","58","1"
"Yemen","1216",""
"Zambia","1726",""
"Zimbabwe","1990",""

"fnSeqID","Footnote"
"1","Estimate"
