Date	Amount

1/2/1996	121.2709
1/3/1996	121.4182
1/4/1996	122.519
1/5/1996	121.0507
1/8/1996	121.1681
1/9/1996	121.3298
1/10/1996	120.9775
1/11/1996	121.0068
1/12/1996	120.8897
1/15/1996	121.7878
1/16/1996	122.7898
1/17/1996	123.4111
1/18/1996	123.9618
1/19/1996	124.5485
1/22/1996	124.4245
1/23/1996	124.7505
1/24/1996	125.0156
1/25/1996	125.6124
1/26/1996	126.4542
1/29/1996	126.0398
1/30/1996	125.7703
1/31/1996	125.3918
2/1/1996	125.565
2/2/1996	125.3133
2/5/1996	124.564
2/6/1996	123.9618
2/7/1996	124.3936
2/8/1996	124.3936
2/9/1996	124.1773
2/12/1996	123.885
2/13/1996	124.1619
2/14/1996	123.6552
2/15/1996	123.7624
2/16/1996	123.1527
2/19/1996	122.3242
2/20/1996	122.549
2/21/1996	122.429
2/22/1996	122.2643
2/23/1996	122.519
2/26/1996	122.0256
2/27/1996	122.1747
2/28/1996	123.3046
2/29/1996	123.9465
3/1/1996	124.3472
3/4/1996	124.8907
3/5/1996	124.9531
3/6/1996	124.5795
3/7/1996	124.5175
3/8/1996	124.9219
3/11/1996	124.5951
3/12/1996	124.6727
3/13/1996	123.7624
3/14/1996	123.7624
3/15/1996	124.3008
3/18/1996	124.0233
3/19/1996	124.0695
3/20/1996	124.0541
3/21/1996	124.0695
3/22/1996	124.1619
3/25/1996	124.1927
3/26/1996	124.0695
3/27/1996	124.9531
3/28/1996	124.3781
3/29/1996	124.0387
4/1/1996	124.5175
4/2/1996	124.5951
4/3/1996	123.8083
4/4/1996	123.793
4/5/1996	124.1003
4/8/1996	123.6858
4/9/1996	124.6417
4/10/1996	125.3918
4/11/1996	125.6913
4/12/1996	125.7229
4/15/1996	126.0239
4/16/1996	126.0081
4/17/1996	125.5808
4/18/1996	125.7071
4/19/1996	125.2348
4/22/1996	126.0239
4/23/1996	126.1193
4/24/1996	126.4382
4/25/1996	126.7909
4/26/1996	127.0003
4/29/1996	126.0557
4/30/1996	127.2427
5/1/1996	127.551
5/2/1996	127.7629
5/3/1996	127.2588
5/6/1996	127.2588
5/7/1996	126.6304
5/8/1996	126.3264
5/9/1996	129.0156
5/10/1996	127.6976
5/13/1996	127.7629
5/14/1996	128.041
5/15/1996	128.1066
5/16/1996	128.3368
5/17/1996	127.6813
5/20/1996	127.91
5/21/1996	128.2545
5/22/1996	128.238
5/23/1996	128.6339
5/24/1996	128.4357
5/27/1996	128.5843
5/28/1996	128.7664
5/29/1996	129.1322
5/30/1996	129.1823
5/31/1996	129.0323
6/3/1996	128.6505
6/4/1996	129.1489
6/5/1996	129.584
6/6/1996	129.4331
6/7/1996	129.4331
6/10/1996	129.5169
6/11/1996	129.5337
6/12/1996	129.5337
6/13/1996	129.6176
6/14/1996	128.7498
6/17/1996	128.1723
6/18/1996	128.0574
6/19/1996	128.2051
6/20/1996	128.1394
6/21/1996	128.7996
6/24/1996	128.6505
6/25/1996	128.7498
6/26/1996	128.3862
6/27/1996	127.9754
6/28/1996	127.9427
7/1/1996	128.1558
7/2/1996	128.2545
7/3/1996	128.0082
7/4/1996	128.2216
7/5/1996	128.6836
7/8/1996	128.6008
7/9/1996	128.2051
7/10/1996	128.2874
7/11/1996	127.9427
7/12/1996	127.8445
7/15/1996	128.123
7/16/1996	125.8178
7/17/1996	125.6913
7/18/1996	125.6439
7/19/1996	125.439
7/22/1996	125.439
7/23/1996	126.0557
7/24/1996	126.1989
7/25/1996	125.565
7/26/1996	126.2148
7/29/1996	126.0081
7/30/1996	126.1352
7/31/1996	125.7862
8/1/1996	125.5808
8/2/1996	125.9287
8/6/1996	125.8495
8/7/1996	126.1034
8/8/1996	126.1034
8/9/1996	125.9287
8/12/1996	125.7862
8/13/1996	125.7703
8/14/1996	126.1034
8/15/1996	125.7703
8/16/1996	126.0398
8/19/1996	126.8231
8/20/1996	125.7703
8/21/1996	125.4705
8/22/1996	125.9287
8/23/1996	125.439
8/26/1996	125.0469
8/27/1996	125.1095
8/28/1996	124.8907
8/29/1996	125.2662
8/30/1996	125.0782
9/3/1996	125.329
9/4/1996	125.329
9/5/1996	125.4705
9/6/1996	125.7862
9/9/1996	126.0398
9/10/1996	127.1617
9/11/1996	127.4697
9/12/1996	127.6813
9/13/1996	127.5836
9/16/1996	127.3723
9/17/1996	127.5185
9/18/1996	127.0164
9/19/1996	127.421
9/20/1996	127.3561
9/23/1996	127.2103
9/24/1996	127.3237
9/25/1996	127.1133
9/26/1996	128.041
9/27/1996	128.123
9/30/1996	128.3862
10/1/1996	128.3697
10/2/1996	128.4687
10/3/1996	128.6174
10/4/1996	128.7167
10/7/1996	128.667
10/8/1996	128.5347
10/9/1996	128.5182
10/10/1996	128.8162
10/11/1996	128.8162
10/15/1996	129.5505
10/16/1996	129.4498
10/17/1996	130.0052
10/18/1996	129.6008
10/21/1996	129.1656
10/22/1996	129.1656
10/23/1996	128.2216
10/24/1996	128.1558
10/25/1996	128.0246
10/28/1996	127.7139
